Email id,From Name,From seniority,From Department,To Name,To seniority,To Department,Email topic,Date,Is opened?,Device,Within work hours,Within workdays,Department color,Department aura,Predicted_Sentiment,Confidence_Score
324,Mata McGifford,Middle level management,Customer Service,Tamara Brewitt,Professional,Customer Service,Client Related Communication,2024-03-29,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
325,Mata McGifford,Middle level management,Customer Service,Tamara Brewitt,Professional,Customer Service,Meeting Scheduling,2024-03-21,opened,mobile,yes,yes,orange,aura7,neutral,0.8804826140403748
326,Mata McGifford,Middle level management,Customer Service,Tamara Brewitt,Professional,Customer Service,Project Updates,2024-03-23,unopened,mobile,no,no,orange,aura7,neutral,0.808040976524353
327,Mata McGifford,Middle level management,Customer Service,Tamara Brewitt,Professional,Customer Service,Client Related Communication,2024-03-28,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
328,Mata McGifford,Middle level management,Customer Service,Tamara Brewitt,Professional,Customer Service,Client Related Communication,2024-03-12,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
329,Mata McGifford,Middle level management,Customer Service,Tamara Brewitt,Professional,Customer Service,Internal Policies and Procedures,2024-03-26,opened,mobile,yes,yes,orange,aura7,neutral,0.8016245365142822
330,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Project Updates,2024-03-05,opened,desktop,yes,yes,orange,aura7,neutral,0.808040976524353
331,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,HR related topics,2024-03-20,unopened,desktop,yes,yes,orange,aura7,neutral,0.8412798047065735
332,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-20,opened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
333,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-23,opened,desktop,no,no,orange,aura7,neutral,0.83217453956604
334,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-11,opened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
335,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Training and Development,2024-03-25,opened,mobile,yes,yes,orange,aura7,neutral,0.6831164360046387
336,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Training and Development,2024-03-08,opened,desktop,no,yes,orange,aura7,neutral,0.6831164360046387
337,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-25,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
338,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Project Updates,2024-03-15,opened,desktop,yes,yes,orange,aura7,neutral,0.808040976524353
339,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-14,opened,desktop,no,yes,orange,aura7,neutral,0.83217453956604
340,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-13,opened,mobile,no,yes,orange,aura7,neutral,0.83217453956604
341,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-06,opened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
342,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Operational Issues,2024-03-05,opened,desktop,yes,yes,orange,aura7,negative,0.5376729369163513
343,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Training and Development,2024-03-08,opened,mobile,yes,yes,orange,aura7,neutral,0.6831164360046387
344,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Training and Development,2024-03-18,opened,desktop,yes,yes,orange,aura7,neutral,0.6831164360046387
345,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Meeting Scheduling,2024-03-20,opened,desktop,yes,yes,orange,aura7,neutral,0.8804826140403748
346,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-07,opened,desktop,no,yes,orange,aura7,neutral,0.83217453956604
347,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-20,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
348,Mata McGifford,Middle level management,Customer Service,Edithe Cinnamond,Professional,Customer Service,Client Related Communication,2024-03-19,opened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
349,Mata McGifford,Middle level management,Customer Service,Morly Finey,Professional,Customer Service,Client Related Communication,2024-03-20,opened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
350,Mata McGifford,Middle level management,Customer Service,Morly Finey,Professional,Customer Service,Meeting Scheduling,2024-03-13,opened,desktop,yes,yes,orange,aura7,neutral,0.8804826140403748
351,Mata McGifford,Middle level management,Customer Service,Morly Finey,Professional,Customer Service,Client Related Communication,2024-03-06,opened,desktop,no,yes,orange,aura7,neutral,0.83217453956604
352,Mata McGifford,Middle level management,Customer Service,Morly Finey,Professional,Customer Service,Vendor Relations,2024-03-27,opened,desktop,yes,yes,orange,aura7,neutral,0.883733332157135
353,Mata McGifford,Middle level management,Customer Service,Morly Finey,Professional,Customer Service,Client Related Communication,2024-03-28,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
354,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-20,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
355,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Technical Support,2024-03-16,opened,mobile,no,no,orange,aura7,neutral,0.6735418438911438
356,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Project Updates,2024-03-11,opened,desktop,yes,yes,orange,aura7,neutral,0.808040976524353
357,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-11,unopened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
358,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-20,opened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
359,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Operational Issues,2024-03-07,opened,mobile,yes,yes,orange,aura7,negative,0.5376729369163513
360,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Operational Issues,2024-03-06,opened,desktop,yes,yes,orange,aura7,negative,0.5376729369163513
361,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-12,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
362,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-04,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
363,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Meeting Scheduling,2024-03-26,opened,desktop,yes,yes,orange,aura7,neutral,0.8804826140403748
364,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-23,unopened,desktop,no,no,orange,aura7,neutral,0.83217453956604
365,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Project Updates,2024-03-27,opened,desktop,yes,yes,orange,aura7,neutral,0.808040976524353
366,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-25,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
367,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-11,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
368,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-06,opened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
369,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Internal Policies and Procedures,2024-03-20,opened,desktop,no,yes,orange,aura7,neutral,0.8016245365142822
370,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Operational Issues,2024-03-05,opened,desktop,yes,yes,orange,aura7,negative,0.5376729369163513
371,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-19,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
372,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-12,unopened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
373,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-08,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
374,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Project Updates,2024-03-14,opened,mobile,yes,yes,orange,aura7,neutral,0.808040976524353
375,Tamara Brewitt,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-29,unopened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
376,Tamara Brewitt,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Security Alerts,2024-03-05,opened,mobile,yes,yes,orange,aura7,neutral,0.8322566151618958
377,Tamara Brewitt,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-25,unopened,desktop,no,yes,orange,aura7,neutral,0.83217453956604
378,Tamara Brewitt,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Meeting Scheduling,2024-03-20,opened,desktop,yes,yes,orange,aura7,neutral,0.8804826140403748
379,Edithe Cinnamond,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Operational Issues,2024-03-29,opened,desktop,no,yes,orange,aura7,negative,0.5376729369163513
380,Angie Penticost,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-12,opened,mobile,yes,yes,orange,aura7,neutral,0.83217453956604
381,Angie Penticost,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-08,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
382,Angie Penticost,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-11,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
383,Maribelle Oliver,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-20,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
384,Maribelle Oliver,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Project Updates,2024-03-06,opened,desktop,yes,yes,orange,aura7,neutral,0.808040976524353
385,Mort De Benedictis,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Operational Issues,2024-03-26,opened,desktop,yes,yes,orange,aura7,negative,0.5376729369163513
386,Mort De Benedictis,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Legal Matters,2024-03-04,opened,mobile,no,yes,orange,aura7,neutral,0.7993121147155762
387,Mort De Benedictis,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Training and Development,2024-03-21,opened,desktop,yes,yes,orange,aura7,neutral,0.6831164360046387
388,Mort De Benedictis,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Client Related Communication,2024-03-29,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
389,Mort De Benedictis,Professional,Customer Service,Edithe Cinnamond,Professional,Customer Service,Operational Issues,2024-03-28,opened,mobile,yes,yes,orange,aura7,negative,0.5376729369163513
390,Mort De Benedictis,Professional,Customer Service,Edithe Cinnamond,Professional,Customer Service,Project Updates,2024-03-22,opened,mobile,yes,yes,orange,aura7,neutral,0.808040976524353
391,Mort De Benedictis,Professional,Customer Service,Edithe Cinnamond,Professional,Customer Service,Meeting Scheduling,2024-03-25,opened,desktop,yes,yes,orange,aura7,neutral,0.8804826140403748
392,Morly Finey,Professional,Customer Service,Angie Penticost,Professional,Customer Service,Meeting Scheduling,2024-03-19,opened,desktop,no,yes,orange,aura7,neutral,0.8804826140403748
393,Morly Finey,Professional,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-11,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
394,Morly Finey,Professional,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-21,opened,desktop,no,yes,orange,aura7,neutral,0.83217453956604
395,Morly Finey,Professional,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-21,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
396,Angie Penticost,Professional,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-26,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
397,Angie Penticost,Professional,Customer Service,Maribelle Oliver,Professional,Customer Service,Project Updates,2024-03-19,opened,desktop,yes,yes,orange,aura7,neutral,0.808040976524353
398,Angie Penticost,Professional,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-16,opened,desktop,no,no,orange,aura7,neutral,0.83217453956604
399,Angie Penticost,Professional,Customer Service,Maribelle Oliver,Professional,Customer Service,Operational Issues,2024-03-30,opened,desktop,no,no,orange,aura7,negative,0.5376729369163513
400,Maribelle Oliver,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Client Related Communication,2024-03-21,opened,desktop,yes,yes,orange,aura7,neutral,0.83217453956604
401,Maribelle Oliver,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Operational Issues,2024-03-05,opened,mobile,yes,yes,orange,aura7,negative,0.5376729369163513
402,Maribelle Oliver,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Meeting Scheduling,2024-03-21,opened,desktop,yes,yes,orange,aura7,neutral,0.8804826140403748
403,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Meeting Scheduling,2024-03-05,opened,desktop,yes,yes,green,aura3,neutral,0.8804826140403748
404,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-13,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
405,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Internal Policies and Procedures,2024-03-27,opened,desktop,yes,yes,green,aura3,neutral,0.8016245365142822
406,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-23,opened,desktop,no,no,green,aura3,neutral,0.8176727890968323
407,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Project Updates,2024-03-12,opened,desktop,yes,yes,green,aura3,neutral,0.808040976524353
408,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-18,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
409,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-19,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
410,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Training and Development,2024-03-14,opened,mobile,no,yes,green,aura3,neutral,0.6831164360046387
411,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-25,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
412,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Project Updates,2024-03-18,opened,desktop,no,yes,green,aura3,neutral,0.808040976524353
413,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-15,opened,mobile,yes,yes,green,aura3,neutral,0.8176727890968323
414,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-18,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
415,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-11,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
416,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-18,unopened,mobile,yes,yes,green,aura3,neutral,0.8176727890968323
417,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-26,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
418,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Meeting Scheduling,2024-03-06,opened,mobile,yes,yes,green,aura3,neutral,0.8804826140403748
419,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Operational Issues,2024-03-30,opened,desktop,no,no,green,aura3,negative,0.5376729369163513
420,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-19,opened,desktop,no,yes,green,aura3,neutral,0.8176727890968323
421,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-13,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
422,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-21,opened,mobile,yes,yes,green,aura3,neutral,0.8176727890968323
423,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,2024-03-06,opened,desktop,yes,yes,green,aura3,neutral,0.8804826140403748
424,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Project Updates,2024-03-21,unopened,desktop,yes,yes,green,aura3,neutral,0.808040976524353
425,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,2024-03-04,opened,desktop,yes,yes,green,aura3,neutral,0.8016245365142822
426,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-06,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
427,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Training and Development,2024-03-18,opened,desktop,yes,yes,green,aura3,neutral,0.6831164360046387
428,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,2024-03-07,opened,desktop,yes,yes,green,aura3,neutral,0.8804826140403748
429,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-19,opened,mobile,yes,yes,green,aura3,neutral,0.8176727890968323
430,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-26,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
431,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Operational Issues,2024-03-20,opened,desktop,yes,yes,green,aura3,negative,0.5376729369163513
432,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Project Updates,2024-03-13,opened,desktop,no,yes,green,aura3,neutral,0.808040976524353
433,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Training and Development,2024-03-05,opened,desktop,yes,yes,green,aura3,neutral,0.6831164360046387
434,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-07,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
435,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Meeting Scheduling,2024-03-21,opened,mobile,yes,yes,green,aura3,neutral,0.8804826140403748
436,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-13,opened,mobile,yes,yes,green,aura3,neutral,0.8176727890968323
437,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Meeting Scheduling,2024-03-22,opened,desktop,yes,yes,green,aura3,neutral,0.8804826140403748
438,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Internal Policies and Procedures,2024-03-14,opened,desktop,yes,yes,green,aura3,neutral,0.8016245365142822
439,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Operational Issues,2024-03-21,opened,desktop,no,yes,green,aura3,negative,0.5376729369163513
440,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Operational Issues,2024-03-04,opened,desktop,no,yes,green,aura3,negative,0.5376729369163513
441,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-06,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
442,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,HR related topics,2024-03-12,unopened,desktop,yes,yes,green,aura3,neutral,0.8412798047065735
443,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-21,opened,desktop,no,yes,green,aura3,neutral,0.8176727890968323
444,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-11,opened,mobile,yes,yes,green,aura3,neutral,0.8176727890968323
445,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-07,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
446,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-06,opened,mobile,yes,yes,green,aura3,neutral,0.8176727890968323
447,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-14,opened,desktop,yes,yes,green,aura3,neutral,0.8176727890968323
448,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Internal Policies and Procedures,2024-03-13,opened,desktop,yes,yes,green,aura3,neutral,0.8016245365142822
449,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-04,opened,desktop,yes,yes,yellow,aura2,neutral,0.8412798047065735
450,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Project Updates,2024-03-19,opened,desktop,yes,yes,yellow,aura2,neutral,0.808040976524353
451,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-05,opened,mobile,no,yes,yellow,aura2,neutral,0.8412798047065735
452,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Meeting Scheduling,2024-03-26,opened,desktop,yes,yes,yellow,aura2,neutral,0.8804826140403748
453,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Operational Issues,2024-03-06,opened,desktop,yes,yes,yellow,aura2,negative,0.5376729369163513
454,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Internal Policies and Procedures,2024-03-20,unopened,mobile,yes,yes,yellow,aura2,neutral,0.8016245365142822
455,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Operational Issues,2024-03-14,opened,desktop,yes,yes,yellow,aura2,negative,0.5376729369163513
456,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-11,opened,desktop,yes,yes,yellow,aura2,neutral,0.8412798047065735
457,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-30,opened,desktop,no,no,yellow,aura2,neutral,0.8412798047065735
458,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-13,opened,mobile,yes,yes,yellow,aura2,neutral,0.8412798047065735
459,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Internal Policies and Procedures,2024-03-26,opened,desktop,yes,yes,yellow,aura2,neutral,0.8016245365142822
460,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Meeting Scheduling,2024-03-12,opened,desktop,no,yes,yellow,aura2,neutral,0.8804826140403748
461,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-05,opened,mobile,no,yes,yellow,aura2,neutral,0.8412798047065735
462,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Meeting Scheduling,2024-03-21,opened,desktop,yes,yes,yellow,aura2,neutral,0.8804826140403748
463,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Project Updates,2024-03-22,opened,mobile,yes,yes,yellow,aura2,neutral,0.808040976524353
464,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Operational Issues,2024-03-12,opened,desktop,yes,yes,yellow,aura2,negative,0.5376729369163513
465,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-29,opened,desktop,yes,yes,yellow,aura2,neutral,0.8412798047065735
466,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-26,opened,desktop,yes,yes,yellow,aura2,neutral,0.8412798047065735
467,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Project Updates,2024-03-14,opened,mobile,yes,yes,yellow,aura2,neutral,0.808040976524353
468,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Meeting Scheduling,2024-03-04,opened,desktop,no,yes,yellow,aura2,neutral,0.8804826140403748
469,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,Operational Issues,2024-03-23,opened,mobile,no,no,yellow,aura2,negative,0.5376729369163513
470,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-08,opened,desktop,yes,yes,yellow,aura2,neutral,0.8412798047065735
471,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-15,opened,desktop,yes,yes,yellow,aura2,neutral,0.8412798047065735
472,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-11,unopened,desktop,yes,yes,yellow,aura2,neutral,0.8412798047065735
473,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,Training and Development,2024-03-07,opened,desktop,yes,yes,yellow,aura2,neutral,0.6831164360046387
